stock  init_maturity_per_szgroup
0 0
0 0.0085
0 0.0228
0 0.0595
0 0.1468
0 0.3186
0 0.5597
0 0.7756
0 0.9038
0 0.9623
0 0.9858
0 0.9947
0 0.9981
0 0.9993
1 0
1 0.0015
1 0.0041
1 0.011
1 0.0293
1 0.0759
1 0.1824
1 0.3775
1 0.6225
1 0.8176
1 0.9241
1 0.9707
1 0.989
1 0.9959
2 0
2 0.0006
2 0.0015
2 0.0041
2 0.011
2 0.0293
2 0.0759
2 0.1824
2 0.3775
2 0.6225
2 0.8176
2 0.9241
2 0.9707
2 0.989
3 0
3 0.063
3 0.1545
3 0.3318
3 0.5744
3 0.7858
3 0.9089
3 0.9644
3 0.9866
3 0.995
3 0.9982
3 0.9993
3 0.9998
3 0.9999
4 0
4 0.0001
4 0.0002
4 0.0007
4 0.0018
4 0.005
4 0.0134
4 0.0356
4 0.0911
4 0.2142
4 0.4256
4 0.6682
4 0.8455
4 0.937
5 0
5 0.8176
5 0.9241
5 0.9707
5 0.989
5 0.9959
5 0.9985
5 0.9994
5 0.9998
5 0.9999
5 1
5 1
5 1
5 1
6 0
6 0.2497
6 0.475
6 0.7109
6 0.8699
6 0.9478
6 0.9802
6 0.9926
6 0.9973
6 0.999
6 0.9996
6 0.9999
6 0.9999
6 1
7 0
7 0.1824
7 0.3775
7 0.6225
7 0.8176
7 0.9241
7 0.9707
7 0.989
7 0.9959
7 0.9985
7 0.9994
7 0.9998
7 0.9999
7 1
8 0
8 0.0431
8 0.1091
8 0.2497
8 0.475
8 0.7109
8 0.8699
8 0.9478
8 0.9802
8 0.9926
8 0.9973
8 0.999
8 0.9996
8 0.9999
9 0
9 0.0522
9 0.1301
9 0.2891
9 0.525
9 0.7503
9 0.8909
9 0.9569
9 0.9837
9 0.9939
9 0.9978
9 0.9992
9 0.9997
9 0.9999
10 0
10 0.0431
10 0.1091
10 0.2497
10 0.475
10 0.7109
10 0.8699
10 0.9478
10 0.9802
10 0.9926
10 0.9973
10 0.999
10 0.9996
10 0.9999
11 0
11 0.1468
11 0.3186
11 0.5597
11 0.7756
11 0.9038
11 0.9623
11 0.9858
11 0.9947
11 0.9981
11 0.9993
11 0.9997
11 0.9999
11 1
12 0
12 0.0198
12 0.0522
12 0.1301
12 0.2891
12 0.525
12 0.7503
12 0.8909
12 0.9569
12 0.9837
12 0.9939
12 0.9978
12 0.9992
12 0.9997
13 0
13 0.0759
13 0.1824
13 0.3775
13 0.6225
13 0.8176
13 0.9241
13 0.9707
13 0.989
13 0.9959
13 0.9985
13 0.9994
13 0.9998
13 0.9999
14 0
14 0.0759
14 0.1824
14 0.3775
14 0.6225
14 0.8176
14 0.9241
14 0.9707
14 0.989
14 0.9959
14 0.9985
14 0.9994
14 0.9998
14 0.9999
